seed,condition,model,n,accuracy,ece,latency_s,mean_conf,part,mean_depth,p_accept,p_defer,p_flag,eot,bpda
2,gaussian_noise_s5,undefended,100,0.13,0.6625920644402504,0.001272447109222412,0.769752025604248,corr,,,,,,
2,gaussian_noise_s5,undefended_vgg,100,0.09,0.7456809282302856,0.005210163593292236,0.8356810212135315,corr,,,,,,
2,gaussian_noise_s5,pgd_at,100,0.33,0.06167971462011339,0.0017034506797790527,0.3458755612373352,corr,,,,,,
2,gaussian_noise_s5,trades,100,0.34,0.10347397893667222,0.00111525297164917,0.2445351779460907,corr,,,,,,
2,gaussian_noise_s5,rand_smooth,100,0.35,0.09502145946025849,0.024050517082214354,0.3610706627368927,corr,,,,,,
2,gaussian_noise_s5,cardnet,100,0.44,0.3313464415818453,1.009218192100525,0.10865355283021927,corr,150.0,0.0,0.02,0.98,,
2,shot_noise_s5,undefended,100,0.13,0.622302111685276,0.0008262848854064942,0.7523021101951599,corr,,,,,,
2,shot_noise_s5,undefended_vgg,100,0.15,0.6743241298198701,0.004813809394836426,0.8243241310119629,corr,,,,,,
2,shot_noise_s5,pgd_at,100,0.29,0.10956018164753915,0.0013686466217041017,0.34029513597488403,corr,,,,,,
2,shot_noise_s5,trades,100,0.3,0.06365121126174927,0.0008111190795898437,0.24201959371566772,corr,,,,,,
2,shot_noise_s5,rand_smooth,100,0.37,0.09198687121272088,0.02143871545791626,0.3655245304107666,corr,,,,,,
2,shot_noise_s5,cardnet,100,0.43,0.3210339493304491,0.9528389143943786,0.10896604508161545,corr,150.0,0.0,0.02,0.98,,
2,impulse_noise_s5,undefended,100,0.12,0.6703390473127365,0.0009622931480407715,0.7903390526771545,corr,,,,,,
2,impulse_noise_s5,undefended_vgg,100,0.11,0.7155328968167305,0.0038540339469909667,0.8255329132080078,corr,,,,,,
2,impulse_noise_s5,pgd_at,100,0.32,0.13056242987513542,0.001384425163269043,0.3398076891899109,corr,,,,,,
2,impulse_noise_s5,trades,100,0.37,0.13914896056056025,0.0008150839805603027,0.23897609114646912,corr,,,,,,
2,impulse_noise_s5,rand_smooth,100,0.39,0.1379888266324997,0.02443859338760376,0.3594335913658142,corr,,,,,,
2,impulse_noise_s5,cardnet,100,0.39,0.28174783222377303,0.9765935754776001,0.1082521602511406,corr,150.0,0.0,0.02,0.98,,
2,defocus_blur_s5,undefended,100,0.16,0.3344232079386711,0.0008164191246032715,0.4796459674835205,corr,,,,,,
2,defocus_blur_s5,undefended_vgg,100,0.09,0.4097335562109948,0.0037959623336791992,0.49973350763320923,corr,,,,,,
2,defocus_blur_s5,pgd_at,100,0.2,0.15885863065719605,0.0017125773429870605,0.32504257559776306,corr,,,,,,
2,defocus_blur_s5,trades,100,0.27,0.03622864097356797,0.0008944964408874512,0.29254403710365295,corr,,,,,,
2,defocus_blur_s5,rand_smooth,100,0.27,0.11202083408832551,0.02292346715927124,0.32732000946998596,corr,,,,,,
2,defocus_blur_s5,cardnet,100,0.24,0.1015204956382513,1.0132875990867614,0.13847950100898743,corr,149.67999267578125,0.24,0.61,0.15,,
2,glass_blur_s5,undefended,100,0.14,0.46874347448348996,0.000858316421508789,0.60874342918396,corr,,,,,,
2,glass_blur_s5,undefended_vgg,100,0.15,0.36800921797752384,0.004012348651885986,0.5179031491279602,corr,,,,,,
2,glass_blur_s5,pgd_at,100,0.31,0.06970998719334602,0.0013217544555664063,0.31946179270744324,corr,,,,,,
2,glass_blur_s5,trades,100,0.3,0.06157146990299225,0.0008148527145385742,0.27849650382995605,corr,,,,,,
2,glass_blur_s5,rand_smooth,100,0.28,0.1312830892205238,0.020632505416870117,0.32714393734931946,corr,,,,,,
2,glass_blur_s5,cardnet,100,0.31,0.1703094267100096,0.9485425162315368,0.1396905779838562,corr,143.44000244140625,0.28,0.56,0.16,,
2,motion_blur_s5,undefended,100,0.15,0.5216419839859009,0.0008899521827697754,0.671642005443573,corr,,,,,,
2,motion_blur_s5,undefended_vgg,100,0.16,0.5364879527688027,0.0036792254447937014,0.6964880228042603,corr,,,,,,
2,motion_blur_s5,pgd_at,100,0.21,0.13233834564685823,0.001427285671234131,0.32556769251823425,corr,,,,,,
2,motion_blur_s5,trades,100,0.22,0.08790232360363005,0.0008199715614318848,0.26557713747024536,corr,,,,,,
2,motion_blur_s5,rand_smooth,100,0.26,0.08095682159066199,0.023311972618103027,0.3322371244430542,corr,,,,,,
2,motion_blur_s5,cardnet,100,0.26,0.1290581312775612,0.9514263081550598,0.14182205498218536,corr,145.52000427246094,0.34,0.5,0.16,,
2,zoom_blur_s5,undefended,100,0.44,0.339094001352787,0.0007857441902160645,0.7784605622291565,corr,,,,,,
2,zoom_blur_s5,undefended_vgg,100,0.52,0.39939972251653677,0.003873867988586426,0.9068555235862732,corr,,,,,,
2,zoom_blur_s5,pgd_at,100,0.6,0.2108991611003876,0.0013699030876159668,0.3944329023361206,corr,,,,,,
2,zoom_blur_s5,trades,100,0.36,0.09616923138499262,0.0009418964385986328,0.2638307511806488,corr,,,,,,
2,zoom_blur_s5,rand_smooth,100,0.57,0.2389030040800571,0.02244147062301636,0.3515177071094513,corr,,,,,,
2,zoom_blur_s5,cardnet,100,0.54,0.3819142664968968,0.85806738615036,0.15808573365211487,corr,126.30000305175781,0.55,0.36,0.09,,
2,snow_s5,undefended,100,0.49,0.3682895207405091,0.0010506057739257813,0.8562322854995728,corr,,,,,,
2,snow_s5,undefended_vgg,100,0.52,0.43188378632068636,0.0032988476753234865,0.9401261806488037,corr,,,,,,
2,snow_s5,pgd_at,100,0.27,0.14079199790954589,0.0010793972015380859,0.3919052481651306,corr,,,,,,
2,snow_s5,trades,100,0.15,0.21957375943660734,0.0005611848831176758,0.3433687686920166,corr,,,,,,
2,snow_s5,rand_smooth,100,0.26,0.12721875950694086,0.01297428846359253,0.35396790504455566,corr,,,,,,
2,snow_s5,cardnet,100,0.26,0.10347028873860835,0.6073770332336426,0.15652970969676971,corr,142.6199951171875,0.52,0.48,0.0,,
2,frost_s5,undefended,100,0.52,0.3507259729504585,0.0006169295310974121,0.8675839900970459,corr,,,,,,
2,frost_s5,undefended_vgg,100,0.63,0.3282221788167953,0.0029517436027526856,0.9399145245552063,corr,,,,,,
2,frost_s5,pgd_at,100,0.25,0.12851124182343482,0.0009952664375305175,0.3587724566459656,corr,,,,,,
2,frost_s5,trades,100,0.15,0.22454521298408509,0.0005451464653015137,0.368231862783432,corr,,,,,,
2,frost_s5,rand_smooth,100,0.25,0.16129953876137731,0.013798809051513672,0.35377129912376404,corr,,,,,,
2,frost_s5,cardnet,100,0.27,0.11185890503227709,0.5614702343940735,0.15814109146595,corr,137.6300048828125,0.56,0.4,0.04,,
2,fog_s5,undefended,100,0.11,0.7200499179959297,0.0005150389671325684,0.8300498127937317,corr,,,,,,
2,fog_s5,undefended_vgg,100,0.1,0.7867003461718558,0.002671074867248535,0.8867002725601196,corr,,,,,,
2,fog_s5,pgd_at,100,0.14,0.08496704891324043,0.0008286619186401367,0.22496704757213593,corr,,,,,,
2,fog_s5,trades,100,0.13,0.057016554027795784,0.0005173850059509278,0.1870165467262268,corr,,,,,,
2,fog_s5,rand_smooth,100,0.13,0.09607019871473313,0.013011469841003417,0.22607022523880005,corr,,,,,,
2,fog_s5,cardnet,100,0.17,0.04294726513326168,0.6400080728530885,0.12705273926258087,corr,150.0,0.06,0.56,0.38,,
2,brightness_s5,undefended,100,0.81,0.16333509042859076,0.0005309939384460449,0.9218517541885376,corr,,,,,,
2,brightness_s5,undefended_vgg,100,0.82,0.16862722516059878,0.002595503330230713,0.9596115946769714,corr,,,,,,
2,brightness_s5,pgd_at,100,0.29,0.1247528088092804,0.000820465087890625,0.35809963941574097,corr,,,,,,
2,brightness_s5,trades,100,0.16,0.16922181397676472,0.0004946279525756836,0.32666847109794617,corr,,,,,,
2,brightness_s5,rand_smooth,100,0.26,0.14085933104157447,0.012728004455566407,0.35538485646247864,corr,,,,,,
2,brightness_s5,cardnet,100,0.29,0.17259469196200372,0.4897191309928894,0.15728741884231567,corr,113.04000091552734,0.53,0.41,0.06,,
2,contrast_s5,undefended,100,0.15,0.3686374706029892,0.0005565547943115235,0.5186375379562378,corr,,,,,,
2,contrast_s5,undefended_vgg,100,0.11,0.3787915426492692,0.0026023077964782717,0.48879149556159973,corr,,,,,,
2,contrast_s5,pgd_at,100,0.16,0.14463501036167145,0.0008197259902954101,0.30463501811027527,corr,,,,,,
2,contrast_s5,trades,100,0.19,0.11224301949143412,0.0005280375480651855,0.291111022233963,corr,,,,,,
2,contrast_s5,rand_smooth,100,0.18,0.1556513464450836,0.014398777484893798,0.31048211455345154,corr,,,,,,
2,contrast_s5,cardnet,100,0.17,0.0661667649447918,0.6371875381469727,0.13520783185958862,corr,150.0,0.16,0.67,0.17,,
2,elastic_transform_s5,undefended,100,0.13,0.7631095167994499,0.000514988899230957,0.8931095004081726,corr,,,,,,
2,elastic_transform_s5,undefended_vgg,100,0.14,0.7177619764208794,0.0026430439949035643,0.8577618598937988,corr,,,,,,
2,elastic_transform_s5,pgd_at,100,0.33,0.1014021399617195,0.0008197665214538574,0.3459894061088562,corr,,,,,,
2,elastic_transform_s5,trades,100,0.34,0.12291260994970797,0.0004869651794433594,0.2661789357662201,corr,,,,,,
2,elastic_transform_s5,rand_smooth,100,0.35,0.07940810233354569,0.01223963737487793,0.3462434709072113,corr,,,,,,
2,elastic_transform_s5,cardnet,100,0.32,0.17967914171516897,0.608513548374176,0.15452870726585388,corr,142.52999877929688,0.55,0.37,0.08,,
2,pixelate_s5,undefended,100,0.16,0.6776419192552567,0.000522768497467041,0.8248789310455322,corr,,,,,,
2,pixelate_s5,undefended_vgg,100,0.2,0.7253754326701163,0.0028586816787719727,0.9253753423690796,corr,,,,,,
2,pixelate_s5,pgd_at,100,0.51,0.1861183167994023,0.0009598779678344727,0.35095497965812683,corr,,,,,,
2,pixelate_s5,trades,100,0.37,0.10512746751308438,0.0005496478080749511,0.2648725211620331,corr,,,,,,
2,pixelate_s5,rand_smooth,100,0.42,0.14163567632436752,0.012740061283111573,0.3296927213668823,corr,,,,,,
2,pixelate_s5,cardnet,100,0.49,0.3399795267730952,0.6582795453071595,0.15002046525478363,corr,150.0,0.46,0.45,0.09,,
2,jpeg_compression_s5,undefended,100,0.27,0.5548418521881103,0.0005080175399780274,0.8248418569564819,corr,,,,,,
2,jpeg_compression_s5,undefended_vgg,100,0.34,0.5292696675658227,0.002773571014404297,0.8692697286605835,corr,,,,,,
2,jpeg_compression_s5,pgd_at,100,0.6,0.1959011386334896,0.000813906192779541,0.4232431650161743,corr,,,,,,
2,jpeg_compression_s5,trades,100,0.33,0.07324197173118593,0.0004861736297607422,0.2661033272743225,corr,,,,,,
2,jpeg_compression_s5,rand_smooth,100,0.51,0.18039678603410722,0.012463512420654297,0.372090607881546,corr,,,,,,
2,jpeg_compression_s5,cardnet,100,0.55,0.38778235279023643,0.6174012899398803,0.1622176617383957,corr,140.24000549316406,0.58,0.34,0.08,,
0,id_cifar10,undefended,240,0.9041666666666667,0.06833443132539593,0.0012308627367019654,0.9628795385360718,ood,,,,,,
0,id_cifar10,undefended_vgg,240,0.9,0.08625761320193615,0.005190389355023702,0.9794877767562866,ood,,,,,,
0,id_cifar10,pgd_at,240,0.6583333333333333,0.15441359225660567,0.0019282797972361247,0.5039197206497192,ood,,,,,,
0,id_cifar10,trades,240,0.4083333333333333,0.1395845982556542,0.0010892291863759359,0.2764033377170563,ood,,,,,,
